id;name;location;estamate_budget;start_date;end_date;church_id
1;Customer Human deposit;even-keeled Saint Helena Pound;84666;2019-11-02;2019-11-02;1
2;drive THX bypassing;Cheese Dynamic Home Loan Account;919;2019-11-03;2019-11-03;2
3;invoice Home Gloves;Buckinghamshire Ports;99445;2019-11-03;2019-11-03;3
4;Computers Bedfordshire Fish;payment calculating;65761;2019-11-03;2019-11-02;4
5;Sleek turn-key;Ergonomic;58987;2019-11-02;2019-11-02;5
6;Cambridgeshire Investor;cross-platform Borders;57690;2019-11-02;2019-11-02;6
7;white sensor local;calculate;4360;2019-11-03;2019-11-02;7
8;Villages uniform PCI;Automotive Tactics architectures;96665;2019-11-02;2019-11-02;8
9;SDD disintermediate reinvent;eco-centric Bedfordshire mesh;39469;2019-11-02;2019-11-02;9
10;Intranet Ergonomic Concrete Soap Zambian Kwacha;Concrete Bedfordshire;87737;2019-11-03;2019-11-02;10
