id;name;start_date;end_date;is_current;type_id
1;EXE projection Fresh;2020-01-18;2020-01-18;true;1
2;contextually-based;2020-01-18;2020-01-18;false;2
3;cutting-edge ability Hat;2020-01-18;2020-01-18;false;3
4;Bahamian Dollar;2020-01-19;2020-01-18;false;4
5;Gloves sky blue Oklahoma;2020-01-18;2020-01-18;false;5
6;Versatile Exclusive Moroccan Dirham;2020-01-18;2020-01-18;false;6
7;Supervisor;2020-01-19;2020-01-18;true;7
8;paradigms Home;2020-01-18;2020-01-18;true;8
9;Canadian Dollar;2020-01-18;2020-01-18;false;9
10;Dominican Republic Credit Card Account Handmade;2020-01-18;2020-01-19;false;10
