id;amount_promised;amount_contributed;description;due_date;period_id
1;52566;39062;fresh-thinking Hawaii Credit Card Account;2020-01-18;1
2;78535;64015;transmit Ball HDD;2020-01-18;2
3;76817;74884;Berkshire paradigms;2020-01-18;3
4;73413;82205;Synergized;2020-01-18;4
5;49682;88384;markets Dynamic;2020-01-18;5
6;71864;64120;orchestration Accountability front-end;2020-01-19;6
7;16139;27465;Estates Outdoors;2020-01-19;7
8;11174;23096;streamline;2020-01-18;8
9;22290;68801;methodical Forint;2020-01-18;9
10;89025;56433;intermediate Buckinghamshire e-business;2020-01-18;10
