id;amount;description;date_received;received_by;period_contribution_id
1;37454;Directives application Home Loan Account;2020-01-19;Computer Practical Fresh Pants;1
2;60111;alarm;2020-01-19;Producer;2
3;83244;red Chips Soap;2020-01-18;Albania web-readiness;3
4;29122;Investment Account Steel;2020-01-18;24/7 Common bluetooth;4
5;19967;Cambridgeshire Mississippi;2020-01-19;Credit Card Account Table Small Frozen Sausages;5
6;96563;cross-platform access;2020-01-19;Nakfa;6
7;44015;Rubber Buckinghamshire Games;2020-01-18;Digitized invoice;7
8;31171;Costa Rica Mayotte;2020-01-19;Facilitator;8
9;77513;Markets Chief;2020-01-18;National Awesome sky blue;9
10;4522;software scale interactive;2020-01-18;compelling mission-critical;10
