id;code;name
1;Investment Account cross-platform;Configuration
2;parse infrastructures Mobility;Implementation Shirt Unbranded Soft Fish
3;Refined Soft Keyboard synthesizing;indigo Bacon Mouse
4;Programmable payment National;HDD
5;Tanzanian Shilling Lights;e-enable Plaza intranet
6;convergence Idaho customized;synthesize Bahrain
7;Pre-emptive Bouvet Island (Bouvetoya) experiences;Credit Card Account
8;Belize Dollar Bacon;Investment Account Rwanda Customer
9;Liaison copy program;hack Electronics Oklahoma
10;Cambridgeshire navigate Licensed;Fantastic indexing
